  12     -0.4746541E-06 0.3023E-08 -0.4731141E-06 0.9294E-09 0.7586    
  13     -0.4714014E-06 0.2884E-08 -0.4729548E-06 0.8847E-09 0.7224    
  14     -0.4740695E-06 0.3081E-08 -0.4730397E-06 0.8504E-09 0.6762    
  15     -0.4769585E-06 0.2986E-08 -0.4733368E-06 0.8178E-09 0.7423    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=  488281250.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  25
   1     -0.4722653E-06 0.9482E-09 -0.4722653E-06 0.9482E-09  0.000    
   2     -0.4739196E-06 0.9629E-09 -0.4730826E-06 0.6757E-09  1.498    
   3     -0.4718787E-06 0.9556E-09 -0.4726827E-06 0.5517E-09  1.279    
   4     -0.4736838E-06 0.9965E-09 -0.4729183E-06 0.4827E-09  1.110    
   5     -0.4742421E-06 0.9669E-09 -0.4731836E-06 0.4319E-09  1.208    
   6     -0.4733795E-06 0.9720E-09 -0.4732159E-06 0.3946E-09 0.9729    
   7     -0.4734126E-06 0.1096E-08 -0.4732385E-06 0.3713E-09 0.8154    
   8     -0.4721041E-06 0.9585E-09 -0.4730911E-06 0.3462E-09 0.8727    
   9     -0.4736312E-06 0.9669E-09 -0.4731526E-06 0.3260E-09 0.7980    
  10     -0.4728705E-06 0.9486E-09 -0.4731229E-06 0.3083E-09 0.7182    
  11     -0.4738324E-06 0.9781E-09 -0.4731871E-06 0.2940E-09 0.6942    
  12     -0.4735316E-06 0.9759E-09 -0.4732158E-06 0.2815E-09 0.6414    
  13     -0.4740660E-06 0.9606E-09 -0.4732833E-06 0.2702E-09 0.6481    
  14     -0.4717198E-06 0.1036E-08 -0.4731843E-06 0.2614E-09 0.7617    
  15     -0.4730334E-06 0.9593E-09 -0.4731739E-06 0.2522E-09 0.7090    
  16     -0.4750417E-06 0.1007E-08 -0.4732850E-06 0.2447E-09 0.8788    
  17     -0.4733350E-06 0.9449E-09 -0.4732881E-06 0.2368E-09 0.8240    
  18     -0.4713112E-06 0.9523E-09 -0.4731739E-06 0.2298E-09  1.013    
  19     -0.4727607E-06 0.9502E-09 -0.4731511E-06 0.2234E-09 0.9666    
  20     -0.4713849E-06 0.9504E-09 -0.4730592E-06 0.2175E-09  1.087    
  21     -0.4726792E-06 0.1002E-08 -0.4730422E-06 0.2125E-09  1.040    
  22     -0.4720118E-06 0.9678E-09 -0.4729950E-06 0.2076E-09  1.042    
  23     -0.4732072E-06 0.9569E-09 -0.4730045E-06 0.2029E-09 0.9965    
  24     -0.4717649E-06 0.9512E-09 -0.4729509E-06 0.1984E-09  1.024    
  25     -0.4724095E-06 0.9644E-09 -0.4729289E-06 0.1943E-09 0.9936    
  26     -0.4728895E-06 0.9990E-09 -0.4729275E-06 0.1908E-09 0.9540    
  27     -0.4733252E-06 0.9680E-09 -0.4729424E-06 0.1872E-09 0.9235    
  28     -0.4724674E-06 0.9546E-09 -0.4729248E-06 0.1837E-09 0.8981    
  29     -0.4715710E-06 0.9565E-09 -0.4728770E-06 0.1804E-09 0.9349    
